"Stkcd","Trddt","Dsmvtll"
"000338","2022-11-28","70345069.43"
"000338","2022-11-29","71973113.47"
"000338","2022-11-30","72787135.49"
"000338","2022-12-01","73126311.33"
"000338","2022-12-02","71633937.63"
"000338","2022-12-05","73736827.84"
"000338","2022-12-06","74279509.19"
"000338","2022-12-07","73397652.00"
"000338","2022-12-08","73533322.34"
"000338","2022-12-09","74008168.52"
"000338","2022-12-12","72990640.99"
"000338","2022-12-13","73533322.34"
"000338","2022-12-14","74143838.85"
"000338","2022-12-15","73397652.00"
"000338","2022-12-16","73397652.00"
"000338","2022-12-19","71905278.30"
"000338","2022-12-20","71362596.96"
"000338","2022-12-21","70887750.78"
"000338","2022-12-22","71023421.12"
"000338","2022-12-23","69938058.42"
"000338","2022-12-26","69802388.09"
"000338","2022-12-27","70345069.43"
"000338","2022-12-28","68852695.73"
"000338","2022-12-29","68717025.40"
"000338","2022-12-30","69056201.24"
"000625","2022-01-04","98024647.45"
"000625","2022-01-05","96241223.07"
"000625","2022-01-06","92801761.75"
"000625","2022-01-07","92164824.47"
"000625","2022-01-10","92419599.39"
"000625","2022-01-11","89999237.72"
"000625","2022-01-12","91655274.65"
"000625","2022-01-13","91018337.37"
"000625","2022-01-14","89362300.44"
"000625","2022-01-17","90508787.54"
"000625","2022-01-18","90508787.54"
"000625","2022-01-19","88343200.79"
"000625","2022-01-20","87451488.60"
"000625","2022-01-21","85859145.40"
"000625","2022-01-24","86241307.77"
"000625","2022-01-25","83184008.82"
"000625","2022-01-26","84075721.01"
"000625","2022-01-27","81655359.35"
"000625","2022-01-28","81400584.44"
"000625","2022-02-07","82674459.00"
"000625","2022-02-08","83056621.36"
"000625","2022-02-09","84585270.84"
"000625","2022-02-10","84012027.28"
"000625","2022-02-11","81973827.99"
"000625","2022-02-14","79426078.87"
"000625","2022-02-15","82419684.08"
"000625","2022-02-16","83311396.28"
"000625","2022-02-17","82992927.64"
"000625","2022-02-18","83247702.55"
"000625","2022-02-21","83311396.28"
"000625","2022-02-22","82164909.17"
"000625","2022-02-23","84585270.84"
"000625","2022-02-24","81655359.35"
"000625","2022-02-25","83438783.73"
"000625","2022-02-28","82419684.08"
"000625","2022-03-01","84521577.11"
"000625","2022-03-02","83311396.28"
"000625","2022-03-03","82164909.17"
"000625","2022-03-04","80254097.33"
"000625","2022-03-07","77642654.48"
"000625","2022-03-08","73566255.89"
"000625","2022-03-09","71273281.68"
"000625","2022-03-10","71846525.23"
"000625","2022-03-11","72865624.88"
"000625","2022-03-14","71973912.69"
"000625","2022-03-15","67770126.63"
"000625","2022-03-16","70381569.48"
"000625","2022-03-17","71528056.59"
"000625","2022-03-18","72610849.97"
"000625","2022-03-21","72801931.15"
"000625","2022-03-22","73311480.97"
"000625","2022-03-23","73375174.70"
"000625","2022-03-24","72610849.97"
"000625","2022-03-25","71273281.68"
"000625","2022-03-28","71400669.13"
"000625","2022-03-29","70381569.48"
"000625","2022-03-30","72929318.61"
"000625","2022-03-31","72164993.87"
"000625","2022-04-01","72483462.51"
"000625","2022-04-06","71528056.59"
"000625","2022-04-07","69617244.75"
"000625","2022-04-08","69999407.12"
"000625","2022-04-11","65349764.97"
"000625","2022-04-12","65731927.34"
"000625","2022-04-13","65413458.70"
"000625","2022-04-14","66814720.71"
"000625","2022-04-15","66177783.43"
"000625","2022-04-18","67642739.18"
"000625","2022-04-19","67770126.63"
"000625","2022-04-20","70063100.84"
"000625","2022-04-21","65477152.43"
"000625","2022-04-22","65795621.07"
"000625","2022-04-25","59999491.81"
"000625","2022-04-26","57642823.88"
